samples,acc,prec,rec
106270,0.946,0.9554848966613673,0.9585326953748007
107270,0.939,0.7291666666666666,0.9395973154362416
108270,0.953,0.8026315789473685,0.9891891891891892
109270,0.945,0.9555555555555556,0.943327239488117
110270,0.949,0.930379746835443,0.9607843137254902
111270,0.945,0.9560632688927944,0.9477351916376306
112270,0.932,0.9232209737827716,0.948076923076923
113270,0.951,0.9384615384615385,0.9663366336633663
114270,0.948,0.9088729016786571,0.9643765903307888
115270,0.944,0.9562171628721541,0.9462738301559792
116270,0.924,0.8813559322033898,0.9309462915601023
117270,0.95,0.9386617100371747,0.9674329501915708
118270,0.961,0.9722735674676525,0.9563636363636364
119270,0.951,0.9235127478753541,0.9367816091954023
120270,0.963,0.948780487804878,0.9604938271604938
121270,0.959,0.9438202247191011,0.963302752293578
122270,0.939,0.9175257731958762,0.8782894736842105
123270,0.943,0.972972972972973,0.9278350515463918
124270,0.94,0.9061728395061729,0.9434447300771208
125270,0.961,0.9789103690685413,0.9537671232876712
126270,0.942,0.9387755102040817,0.9154228855721394
127270,0.936,0.9261744966442953,0.8679245283018868
128270,0.959,0.9456264775413712,0.9569377990430622
129270,0.945,0.9316939890710383,0.9191374663072777
130270,0.932,0.9454022988505747,0.9563953488372093
131270,0.926,0.9620253164556962,0.9357045143638851
132270,0.915,0.9395161290322581,0.945872801082544
133270,0.935,0.9695290858725761,0.9421265141318977
134270,0.922,0.9421221864951769,0.9331210191082803
135270,0.941,0.9594771241830066,0.963254593175853
136270,0.96,0.9773869346733668,0.9725
