samples,acc,prec,rec,fpr,buckets
115270,0.423,0.0,0.0,0.0,2.0
116270,0.609,0.0,0.0,0.0,2.0
117270,0.478,0.0,0.0,0.0,2.0
118270,0.45,0.0,0.0,0.0,2.0
119270,0.652,0.0,0.0,0.0,2.0
120270,0.595,0.0,0.0,0.0,2.0
121270,0.564,0.0,0.0,0.0,2.0
122270,0.696,0.0,0.0,0.0,2.0
123270,0.418,0.0,0.0,0.0,2.0
124270,0.611,0.0,0.0,0.0,2.0
125270,0.416,0.0,0.0,0.0,2.0
126270,0.598,0.0,0.0,0.0,2.0
127270,0.682,0.0,0.0,0.0,2.0
128270,0.582,0.0,0.0,0.0,2.0
129270,0.629,0.0,0.0,0.0,2.0
130270,0.312,0.0,0.0,0.0,2.0
131270,0.269,0.0,0.0,0.0,2.0
132270,0.261,0.0,0.0,0.0,2.0
133270,0.257,0.0,0.0,0.0,2.0
134270,0.372,0.0,0.0,0.0,2.0
135270,0.238,0.0,0.0,0.0,2.0
136270,0.2,0.0,0.0,0.0,2.0
137270,0.277,0.0,0.0,0.0,2.0
138270,0.247,0.0,0.0,0.0,2.0
139270,0.205,0.0,0.0,0.0,2.0
140270,0.066,0.0,0.0,0.0,2.0
141270,0.084,0.0,0.0,0.0,2.0
142270,0.055,0.0,0.0,0.0,2.0
143270,0.075,0.0,0.0,0.0,2.0
144270,0.082,0.0,0.0,0.0,2.0
145270,0.113,0.0,0.0,0.0,2.0
146270,0.083,0.0,0.0,0.0,2.0
147270,0.079,0.0,0.0,0.0,2.0
148270,0.094,0.0,0.0,0.0,2.0
149270,0.047,0.0,0.0,0.0,2.0
150270,0.095,0.0,0.0,0.0,2.0
151270,0.064,0.0,0.0,0.0,2.0
152270,0.086,0.0,0.0,0.0,2.0
153270,0.129,0.0,0.0,0.0,2.0
154270,0.173,0.0,0.0,0.0,2.0
155270,0.483,0.0,0.0,0.0,2.0
156270,0.393,0.0,0.0,0.0,2.0
157270,0.352,0.0,0.0,0.0,2.0
158270,0.36,0.0,0.0,0.0,2.0
159270,0.335,0.0,0.0,0.0,2.0
160270,0.344,0.0,0.0,0.0,2.0
161270,0.342,0.0,0.0,0.0,2.0
162270,0.352,0.0,0.0,0.0,2.0
163270,0.331,0.0,0.0,0.0,2.0
164270,0.337,0.0,0.0,0.0,2.0
165270,0.366,0.0,0.0,0.0,2.0
166270,0.329,0.0,0.0,0.0,2.0
